tsne,tsne,tsne,y
0,1,2,0
6.0607753,5.146832,5.461641,5
25.842268,17.142498,-3.5731337,0
13.403658,-31.204525,4.268934,4
-15.550749,-3.9017773,-12.896525,1
-6.2405596,-24.240847,-0.19784991,9
-1.1139917,13.691244,-20.13823,2
-21.60146,13.833818,11.319215,1
-1.0242496,26.442148,14.623113,3
-26.295597,8.666939,11.735934,1
3.3973906,-21.30872,-17.12298,4
3.810415,15.595293,7.669382,3
-1.2933564,3.8718374,-7.2917376,5
7.2093987,14.383656,28.553616,3
22.733002,-8.366216,-20.766615,6
-22.621548,22.299143,5.0946555,1
-22.870142,-18.378649,-7.9819403,7
1.4071034,26.62721,-11.760785,2
-10.859661,5.228591,3.4657187,8
8.633266,-2.107058,-15.208509,6
-9.441297,-15.915081,-11.411084,9
16.530184,-29.838152,8.773528,4
27.67816,16.454449,-5.9635544,0
-5.603176,-18.744318,-12.188636,9
-15.602664,-4.2305636,-12.994848,1
-13.046472,16.421276,3.686675,1
-12.568348,29.011368,-1.0722306,2
4.793317,-17.91569,-1.3857749,4
4.2308292,26.28713,27.54332,3
0.88381255,19.851866,-2.6884372,2
-21.719645,-15.891508,-13.372972,7
9.427671,8.512506,28.284784,3
-8.4866295,6.1407537,-0.0055704894,8
15.050232,-11.847853,-19.939594,6
-10.659584,-15.155723,-12.137366,9
16.032822,13.9830065,-7.8974986,0
1.4227412,7.24497,-4.610727,5
9.712599,-4.2841,-19.762415,6
19.032583,16.14015,-7.851432,0
-24.685984,-3.38609,13.107854,7
19.076338,-6.762517,-20.624966,6
-26.168354,2.622697,3.4714293,1
-7.7227077,4.7542486,9.871518,8
-20.130188,-9.2206745,6.181176,7
-10.7362585,-14.978294,-8.929056,9
-5.3633685,12.752642,23.558556,3
-8.731011,-23.793575,0.8966538,9
-11.919717,-1.5887412,17.559603,8
4.158658,-1.4621788,-2.2599075,5
-11.295,5.813791,27.851973,9
0.22025563,23.535574,17.150509,3
11.249212,14.448196,12.803286,3
29.365223,11.211092,8.326801,0
-27.469004,-17.960331,9.973364,7
0.030182164,-15.3307085,-10.960393,4
-12.912306,-23.667793,2.0773883,9
-10.78151,-1.7082151,8.085627,8
28.724571,5.5215383,9.621259,0
-7.8510447,-19.764874,-9.369514,9
8.383528,-23.926565,4.443995,4
-18.113253,2.9457657,-18.017063,1
20.017376,-32.223614,5.3515673,4
-0.20748445,-16.814522,-16.270409,4
7.4409666,0.5303972,-19.669413,6
