tsne,tsne,tsne3d,tsne3d,tsne3d,y
0,1,0,1,2,0
36.439274,0.8028397,4.445089,5.9846635,5.1969237,5
69.970085,40.54707,24.30856,17.879316,-4.301202,0
26.469732,-68.430595,12.88503,-30.78996,2.3498504,4
-48.985188,25.352842,-16.557524,-2.9050379,-13.311547,1
-15.6402235,-39.517883,-5.1186876,-22.512758,-0.68382984,9
-38.49144,81.92088,-1.2955394,13.195098,-18.338736,2
-97.50435,-7.010776,-21.49326,13.231184,11.23483,1
5.5274706,64.59372,-0.38834873,26.73746,15.014394,3
-91.05041,-13.429302,-24.861315,8.662393,11.961982,1
14.559754,-34.557865,3.6992533,-21.854565,-16.624828,4
21.868723,63.42779,2.9294734,16.535261,8.6986,3
35.381237,-28.386963,-2.1560886,3.6700795,-9.647655,5
23.979849,39.235027,6.8556967,13.824627,28.28984,3
76.826546,-28.464344,24.474052,-6.376457,-18.512936,6
-99.83202,7.8757005,-22.346495,21.515162,5.591686,1
-64.10128,-25.395966,-22.491922,-18.81911,-6.037395,7
-18.79387,72.21413,1.8246493,24.04556,-12.713203,2
-34.162033,13.374531,-10.663708,5.8067646,3.2738302,8
57.887672,-29.640638,8.568546,-3.1173642,-15.300868,6
-30.979013,-24.191492,-10.448607,-15.300232,-11.367709,9
21.564228,-87.338776,15.409333,-29.273973,8.8391285,4
74.12036,48.9826,27.406116,17.188084,-6.508945,0
-24.29158,-28.433344,-4.913706,-18.113237,-10.158788,9
-48.972313,25.402477,-16.670837,-2.7715623,-13.60693,1
-58.820923,1.5082047,-13.0109415,16.258236,4.114344,1
-24.766932,49.029778,-9.372525,27.919374,1.5412232,2
5.194914,-56.653145,5.2772474,-17.47931,-0.90383875,4
14.715517,59.010826,4.8317323,25.274914,26.29953,3
-60.689518,-7.850526,-14.775265,-6.3022246,-5.0743265,2
-56.610924,-7.2313385,-23.133307,-14.6865015,-12.673935,7
28.980381,35.357647,7.334819,8.302205,30.2491,3
-37.964962,11.627256,-8.642095,6.1293225,-0.07229173,8
87.2532,-35.319656,15.4988165,-12.11458,-19.463116,6
-32.43559,-22.778582,-11.39831,-14.629286,-12.536541,9
55.00147,49.048763,15.426339,14.7958,-7.422483,0
40.83696,-22.245358,0.2325547,7.249029,-6.4786034,5
61.13722,-38.93043,11.816829,-1.7402164,-19.912395,6
58.436478,49.439728,18.434141,16.395939,-7.8976393,0
-40.61543,-56.0916,-22.95986,-4.9991436,12.971138,7
76.47219,-37.841076,19.58306,-7.354102,-20.01036,6
-71.58048,-2.5208771,-27.654835,3.4768987,3.346267,1
-21.081673,18.11079,-7.403851,4.3016415,10.31964,8
-44.362705,-47.79124,-19.408077,-7.7829547,6.6337805,7
-31.514317,-27.742891,-11.485946,-14.992057,-8.309786,9
4.464811,36.017597,-4.2413154,11.956375,23.403456,3
-17.71794,-43.566437,-8.529151,-23.862175,0.41018268,9
-7.652826,5.6569963,-8.187156,-2.0109098,17.912542,8
30.19606,-15.111057,3.1040776,-0.90653133,-3.807029,5
4.06056,29.997562,-7.0967684,7.660385,26.38852,9
6.855123,59.794518,0.0064935307,22.741945,16.387875,3
30.933199,58.767136,9.963326,13.615331,13.191612,3
77.16265,26.67528,27.617401,10.395532,7.5279064,0
-67.19425,-51.3262,-25.499422,-17.921316,9.44997,7
-36.191483,-20.150026,-0.43562844,-14.017352,-10.554641,4
-21.359854,-42.849407,4.812235,-30.867788,-4.2026706,9
-19.636381,4.4183426,-9.44142,-4.176228,7.451303,8
75.18331,19.090303,26.638575,6.251417,9.349594,0
-23.393885,-25.508507,-8.677996,-19.870409,-9.639157,9
9.931533,-76.42796,7.76321,-23.23906,7.4362273,4
